key_id,repeat,timing_cycles,valid_ct,message_hw,coeff0_hw,sk_byte0
4,24,417,0,132,5,145
4,25,566,0,132,5,145
4,26,547,0,132,5,145
4,27,608,0,132,5,145
4,28,584,0,132,5,145
4,29,564,0,132,5,145
4,30,643,0,132,5,145
4,31,622,0,132,5,145
4,32,573,0,132,5,145
4,33,629,0,132,5,145
4,34,637,0,132,5,145
4,35,479,0,132,5,145
4,36,582,0,132,5,145
4,37,873,0,132,5,145
4,38,618,0,132,5,145
4,39,565,0,132,5,145
4,40,598,0,132,5,145
4,41,605,0,132,5,145
4,42,568,0,132,5,145
4,43,628,0,132,5,145
4,44,558,0,132,5,145
4,45,599,0,132,5,145
4,46,561,0,132,5,145
4,47,575,0,132,5,145
4,48,621,0,132,5,145
4,49,555,0,132,5,145
5,0,503,1,134,4,38
5,1,1153,1,134,4,38
5,2,458,1,134,4,38
5,3,580,1,134,4,38
5,4,608,1,134,4,38
5,5,608,1,134,4,38
5,6,595,1,134,4,38
5,7,664,1,134,4,38
5,8,3904,1,134,4,38
5,9,603,1,134,4,38
5,10,621,1,134,4,38
5,11,608,1,134,4,38
5,12,616,1,134,4,38
5,13,578,1,134,4,38
5,14,594,1,134,4,38
5,15,439,1,134,4,38
5,16,610,1,134,4,38
5,17,605,1,134,4,38
5,18,571,1,134,4,38
5,19,448,1,134,4,38
5,20,598,1,134,4,38
5,21,566,1,134,4,38
5,22,2157,1,134,4,38
5,23,623,1,134,4,38
5,24,573,1,134,4,38
5,25,600,1,134,4,38
5,26,578,1,134,4,38
5,27,577,1,134,4,38
5,28,317,1,134,4,38
5,29,1061,1,134,4,38
5,30,475,1,134,4,38
5,31,514,1,134,4,38
5,32,456,1,134,4,38
5,33,656,1,134,4,38
5,34,471,1,134,4,38
5,35,549,1,134,4,38
5,36,501,1,134,4,38
5,37,555,1,134,4,38
5,38,617,1,134,4,38
5,39,477,1,134,4,38
5,40,559,1,134,4,38
5,41,579,1,134,4,38
5,42,351,1,134,4,38
5,43,556,1,134,4,38
5,44,507,1,134,4,38
5,45,478,1,134,4,38
5,46,546,1,134,4,38
5,47,489,1,134,4,38
5,48,505,1,134,4,38
5,49,563,1,134,4,38
6,0,511,0,118,10,191
6,1,558,0,118,10,191
6,2,295,0,118,10,191
6,3,566,0,118,10,191
6,4,547,0,118,10,191
6,5,459,0,118,10,191
6,6,429,0,118,10,191
6,7,532,0,118,10,191
6,8,531,0,118,10,191
6,9,592,0,118,10,191
6,10,560,0,118,10,191
6,11,539,0,118,10,191
6,12,589,0,118,10,191
6,13,561,0,118,10,191
6,14,550,0,118,10,191
6,15,603,0,118,10,191
6,16,565,0,118,10,191
6,17,582,0,118,10,191
6,18,531,0,118,10,191
6,19,588,0,118,10,191
6,20,558,0,118,10,191
6,21,562,0,118,10,191
6,22,556,0,118,10,191
6,23,554,0,118,10,191
6,24,571,0,118,10,191
6,25,547,0,118,10,191
6,26,482,0,118,10,191
6,27,430,0,118,10,191
6,28,554,0,118,10,191
6,29,462,0,118,10,191
6,30,490,0,118,10,191
6,31,632,0,118,10,191
6,32,573,0,118,10,191
6,33,570,0,118,10,191
6,34,536,0,118,10,191
6,35,557,0,118,10,191
6,36,571,0,118,10,191
6,37,563,0,118,10,191
6,38,467,0,118,10,191
6,39,565,0,118,10,191
6,40,539,0,118,10,191
6,41,360,0,118,10,191
6,42,570,0,118,10,191
6,43,526,0,118,10,191
6,44,514,0,118,10,191
6,45,580,0,118,10,191
6,46,429,0,118,10,191
6,47,373,0,118,10,191
6,48,620,0,118,10,191
6,49,557,0,118,10,191
7,0,447,0,130,8,239
7,1,538,0,130,8,239
7,2,531,0,130,8,239
7,3,530,0,130,8,239
7,4,606,0,130,8,239
7,5,571,0,130,8,239
7,6,562,0,130,8,239
7,7,439,0,130,8,239
7,8,454,0,130,8,239
7,9,550,0,130,8,239
7,10,576,0,130,8,239
7,11,502,0,130,8,239
7,12,564,0,130,8,239
7,13,586,0,130,8,239
7,14,536,0,130,8,239
7,15,568,0,130,8,239
7,16,562,0,130,8,239
7,17,582,0,130,8,239
7,18,537,0,130,8,239
7,19,545,0,130,8,239
7,20,429,0,130,8,239
7,21,603,0,130,8,239
7,22,403,0,130,8,239
7,23,629,0,130,8,239
7,24,360,0,130,8,239
7,25,541,0,130,8,239
7,26,558,0,130,8,239
7,27,620,0,130,8,239
7,28,513,0,130,8,239
7,29,569,0,130,8,239
7,30,561,0,130,8,239
7,31,484,0,130,8,239
7,32,381,0,130,8,239
7,33,530,0,130,8,239
7,34,466,0,130,8,239
7,35,606,0,130,8,239
7,36,579,0,130,8,239
7,37,464,0,130,8,239
7,38,471,0,130,8,239
7,39,374,0,130,8,239
7,40,999,0,130,8,239
7,41,594,0,130,8,239
7,42,474,0,130,8,239
7,43,636,0,130,8,239
7,44,581,0,130,8,239
7,45,500,0,130,8,239
7,46,652,0,130,8,239
7,47,499,0,130,8,239
7,48,569,0,130,8,239
7,49,572,0,130,8,239
8,0,602,1,135,6,54
8,1,502,1,135,6,54
8,2,345,1,135,6,54
8,3,471,1,135,6,54
8,4,554,1,135,6,54
8,5,558,1,135,6,54
8,6,631,1,135,6,54
8,7,562,1,135,6,54
8,8,587,1,135,6,54
8,9,577,1,135,6,54
8,10,613,1,135,6,54
8,11,546,1,135,6,54
8,12,451,1,135,6,54
8,13,363,1,135,6,54
8,14,587,1,135,6,54
8,15,579,1,135,6,54
8,16,1671,1,135,6,54
8,17,584,1,135,6,54
8,18,561,1,135,6,54
8,19,509,1,135,6,54
8,20,344,1,135,6,54
8,21,578,1,135,6,54
8,22,619,1,135,6,54
8,23,304,1,135,6,54
8,24,341,1,135,6,54
8,25,1073,1,135,6,54
8,26,567,1,135,6,54
8,27,517,1,135,6,54
8,28,591,1,135,6,54
8,29,521,1,135,6,54
8,30,461,1,135,6,54
8,31,478,1,135,6,54
8,32,569,1,135,6,54
8,33,578,1,135,6,54
8,34,557,1,135,6,54
8,35,467,1,135,6,54
8,36,555,1,135,6,54
8,37,572,1,135,6,54
8,38,577,1,135,6,54
8,39,529,1,135,6,54
8,40,516,1,135,6,54
8,41,609,1,135,6,54
8,42,597,1,135,6,54
8,43,577,1,135,6,54
8,44,564,1,135,6,54
8,45,414,1,135,6,54
8,46,568,1,135,6,54
8,47,560,1,135,6,54
8,48,562,1,135,6,54
8,49,499,1,135,6,54
9,0,464,0,129,5,86
9,1,551,0,129,5,86
9,2,604,0,129,5,86
9,3,471,0,129,5,86
9,4,573,0,129,5,86
9,5,569,0,129,5,86
9,6,553,0,129,5,86
9,7,513,0,129,5,86
9,8,563,0,129,5,86
9,9,527,0,129,5,86
9,10,593,0,129,5,86
9,11,586,0,129,5,86
9,12,543,0,129,5,86
9,13,552,0,129,5,86
9,14,559,0,129,5,86
9,15,560,0,129,5,86
9,16,437,0,129,5,86
9,17,462,0,129,5,86
9,18,473,0,129,5,86
9,19,599,0,129,5,86
9,20,549,0,129,5,86
9,21,457,0,129,5,86
9,22,587,0,129,5,86
9,23,572,0,129,5,86
9,24,510,0,129,5,86
9,25,584,0,129,5,86
9,26,585,0,129,5,86
9,27,565,0,129,5,86
9,28,2839,0,129,5,86
9,29,519,0,129,5,86
9,30,587,0,129,5,86
9,31,582,0,129,5,86
9,32,553,0,129,5,86
9,33,652,0,129,5,86
9,34,691,0,129,5,86
9,35,455,0,129,5,86
9,36,551,0,129,5,86
9,37,429,0,129,5,86
9,38,582,0,129,5,86
9,39,467,0,129,5,86
9,40,500,0,129,5,86
9,41,514,0,129,5,86
9,42,541,0,129,5,86
9,43,562,0,129,5,86
9,44,606,0,129,5,86
9,45,565,0,129,5,86
9,46,578,0,129,5,86
9,47,535,0,129,5,86
9,48,594,0,129,5,86
9,49,585,0,129,5,86
10,0,289,0,119,6,154
10,1,572,0,119,6,154
10,2,406,0,119,6,154
10,3,557,0,119,6,154
10,4,569,0,119,6,154
10,5,451,0,119,6,154
10,6,459,0,119,6,154
10,7,509,0,119,6,154
10,8,595,0,119,6,154
10,9,558,0,119,6,154
10,10,455,0,119,6,154
10,11,567,0,119,6,154
10,12,533,0,119,6,154
10,13,580,0,119,6,154
10,14,553,0,119,6,154
10,15,565,0,119,6,154
10,16,590,0,119,6,154
10,17,431,0,119,6,154
10,18,552,0,119,6,154
10,19,557,0,119,6,154
10,20,586,0,119,6,154
10,21,568,0,119,6,154
10,22,589,0,119,6,154
10,23,566,0,119,6,154
10,24,538,0,119,6,154
10,25,377,0,119,6,154
10,26,507,0,119,6,154
10,27,591,0,119,6,154
10,28,467,0,119,6,154
10,29,609,0,119,6,154
10,30,480,0,119,6,154
10,31,560,0,119,6,154
10,32,569,0,119,6,154
10,33,546,0,119,6,154
10,34,547,0,119,6,154
10,35,564,0,119,6,154
10,36,562,0,119,6,154
10,37,575,0,119,6,154
10,38,571,0,119,6,154
10,39,501,0,119,6,154
10,40,384,0,119,6,154
10,41,414,0,119,6,154
10,42,509,0,119,6,154
10,43,565,0,119,6,154
10,44,358,0,119,6,154
10,45,558,0,119,6,154
10,46,552,0,119,6,154
10,47,652,0,119,6,154
10,48,565,0,119,6,154
10,49,567,0,119,6,154
11,0,454,1,139,7,139
11,1,560,1,139,7,139
11,2,570,1,139,7,139
11,3,484,1,139,7,139
11,4,438,1,139,7,139
11,5,573,1,139,7,139
11,6,317,1,139,7,139
11,7,412,1,139,7,139
11,8,480,1,139,7,139
11,9,539,1,139,7,139
11,10,290,1,139,7,139
11,11,648,1,139,7,139
11,12,450,1,139,7,139
11,13,514,1,139,7,139
11,14,604,1,139,7,139
11,15,566,1,139,7,139
11,16,438,1,139,7,139
11,17,551,1,139,7,139
11,18,559,1,139,7,139
11,19,571,1,139,7,139
11,20,602,1,139,7,139
11,21,547,1,139,7,139
11,22,439,1,139,7,139
11,23,544,1,139,7,139
11,24,598,1,139,7,139
11,25,603,1,139,7,139
11,26,463,1,139,7,139
11,27,538,1,139,7,139
11,28,636,1,139,7,139
11,29,427,1,139,7,139
11,30,461,1,139,7,139
11,31,546,1,139,7,139
11,32,469,1,139,7,139
11,33,576,1,139,7,139
11,34,545,1,139,7,139
11,35,459,1,139,7,139
11,36,552,1,139,7,139
11,37,524,1,139,7,139
11,38,570,1,139,7,139
11,39,397,1,139,7,139
11,40,413,1,139,7,139
11,41,540,1,139,7,139
11,42,503,1,139,7,139
11,43,548,1,139,7,139
11,44,494,1,139,7,139
11,45,401,1,139,7,139
11,46,397,1,139,7,139
11,47,408,1,139,7,139
11,48,339,1,139,7,139
11,49,604,1,139,7,139
12,0,491,0,136,8,245
12,1,521,0,136,8,245
12,2,437,0,136,8,245
12,3,627,0,136,8,245
12,4,447,0,136,8,245
12,5,284,0,136,8,245
12,6,552,0,136,8,245
12,7,494,0,136,8,245
12,8,406,0,136,8,245
12,9,369,0,136,8,245
12,10,375,0,136,8,245
12,11,578,0,136,8,245
12,12,439,0,136,8,245
12,13,466,0,136,8,245
12,14,501,0,136,8,245
12,15,575,0,136,8,245
12,16,435,0,136,8,245
12,17,469,0,136,8,245
12,18,536,0,136,8,245
12,19,368,0,136,8,245
12,20,413,0,136,8,245
12,21,517,0,136,8,245
12,22,430,0,136,8,245
12,23,408,0,136,8,245
12,24,461,0,136,8,245
12,25,533,0,136,8,245
12,26,564,0,136,8,245
12,27,472,0,136,8,245
12,28,580,0,136,8,245
12,29,510,0,136,8,245
12,30,474,0,136,8,245
12,31,350,0,136,8,245
12,32,470,0,136,8,245
12,33,571,0,136,8,245
12,34,550,0,136,8,245
12,35,592,0,136,8,245
12,36,613,0,136,8,245
12,37,556,0,136,8,245
