sample_id,target_byte,repeat,timing_ns,target_bit,key_id
6114,118,14,26208,0,305
6126,149,6,28833,1,306
6132,149,12,27458,1,306
6134,149,14,28625,1,306
6137,149,17,24458,1,306
6143,6,3,27708,0,307
6155,6,15,26708,0,307
6157,6,17,28500,0,307
6158,6,18,26791,0,307
6160,195,0,23958,1,308
6162,195,2,27833,1,308
6163,195,3,28666,1,308
6170,195,10,28708,1,308
6188,65,8,27708,1,309
6223,23,3,28833,1,311
6240,19,0,26916,1,312
6242,19,2,24291,1,312
6308,235,8,28125,1,315
6309,235,9,25791,1,315
6316,235,16,24125,1,315
6317,235,17,22833,1,315
6362,147,2,27666,1,318
6364,147,4,25958,1,318
6378,147,18,24416,1,318
6381,56,1,26791,0,319
6398,56,18,23125,0,319
6399,56,19,24000,0,319
6405,17,5,28125,1,320
6414,17,14,27375,1,320
6415,17,15,22958,1,320
6417,17,17,26541,1,320
6441,65,1,27375,1,322
6444,65,4,26625,1,322
6454,65,14,24750,1,322
6459,65,19,28791,1,322
6492,89,12,27000,1,324
6498,89,18,27041,1,324
6499,89,19,25083,1,324
6500,53,0,28000,1,325
6526,203,6,23916,1,326
6533,203,13,25541,1,326
6541,88,1,26041,0,327
6542,88,2,28625,0,327
6548,88,8,24666,0,327
6554,88,14,27166,0,327
6562,203,2,27958,1,328
6564,203,4,27291,1,328
6580,92,0,28375,0,329
6591,92,11,27500,0,329
6592,92,12,27041,0,329
6763,232,3,25458,0,338
6881,243,1,27791,1,344
6899,243,19,25958,1,344
7064,2,4,24041,0,353
7108,111,8,27375,1,355
7111,111,11,26958,1,355
7254,161,14,26958,1,362
7290,93,10,28083,1,364
7292,93,12,24208,1,364
7311,142,11,25583,0,365
7320,217,0,22916,1,366
7327,217,7,24250,1,366
7338,217,18,26833,1,366
7341,160,1,23791,0,367
7364,83,4,22791,1,368
7366,83,6,24833,1,368
7375,83,15,24458,1,368
7377,83,17,24291,1,368
7442,11,2,26541,1,372
7529,130,9,23875,0,376
7584,150,4,28000,0,379
7585,150,5,24541,0,379
7590,150,10,26375,0,379
7607,42,7,28666,0,380
7609,42,9,28041,0,380
7616,42,16,24041,0,380
7661,232,1,25958,0,383
7663,232,3,27916,0,383
7666,232,6,27208,0,383
7678,232,18,28416,0,383
7679,232,19,24750,0,383
7702,36,2,27750,0,385
7711,36,11,24833,0,385
7718,36,18,27208,0,385
7722,226,2,28458,0,386
7723,226,3,27833,0,386
7730,226,10,28708,0,386
7731,226,11,24833,0,386
7734,226,14,25666,0,386
7739,226,19,26208,0,386
7744,34,4,25708,0,387
7968,11,8,25875,1,398
8340,28,0,27208,0,417
8344,28,4,22500,0,417
8346,28,6,25375,0,417
8350,28,10,25250,0,417
8382,242,2,27666,0,419
8394,242,14,26625,0,419
8399,242,19,27708,0,419
8477,219,17,23833,1,423
8489,103,9,27708,1,424
8513,111,13,28125,1,425
8542,98,2,27166,0,427
8549,98,9,27000,0,427
8564,97,4,24250,1,428
8570,97,10,26166,1,428
8616,36,16,27541,0,430
8650,41,10,27625,1,432
8651,41,11,24958,1,432
8654,41,14,24583,1,432
8661,168,1,25458,0,433
8662,168,2,26125,0,433
8670,168,10,27166,0,433
8677,168,17,26166,0,433
8686,117,6,27458,1,434
8689,117,9,28333,1,434
8693,117,13,27916,1,434
8702,94,2,28000,0,435
8709,94,9,23666,0,435
8713,94,13,25291,0,435
8758,206,18,27958,0,437
8763,163,3,24333,1,438
9099,83,19,28208,1,454
9102,51,2,28416,1,455
9118,51,18,27333,1,455
9126,117,6,28500,1,456
9481,254,1,25666,0,474
9521,57,1,27541,1,476
9531,57,11,27458,1,476
9532,57,12,24875,1,476
9534,57,14,27875,1,476
9535,57,15,27708,1,476
9536,57,16,25916,1,476
9551,44,11,25333,0,477
9555,44,15,28583,0,477
9556,44,16,22500,0,477
9557,44,17,22583,0,477
9558,44,18,22208,0,477
9559,44,19,22291,0,477
9561,250,1,25125,0,478
9562,250,2,28041,0,478
9564,250,4,28416,0,478
9566,250,6,22666,0,478
9573,250,13,28041,0,478
9576,250,16,23125,0,478
9578,250,18,22791,0,478
9579,250,19,27625,0,478
9581,15,1,27250,1,479
9583,15,3,26291,1,479
9584,15,4,22958,1,479
9586,15,6,24000,1,479
9587,15,7,26083,1,479
9588,15,8,22916,1,479
9595,15,15,27750,1,479
9596,15,16,26166,1,479
9597,15,17,26416,1,479
9601,41,1,26833,1,480
9606,41,6,28750,1,480
9607,41,7,28750,1,480
9615,41,15,26958,1,480
9618,41,18,25083,1,480
9624,114,4,23208,0,481
9626,114,6,22750,0,481
9628,114,8,26291,0,481
9629,114,9,22208,0,481
9634,114,14,27041,0,481
9637,114,17,28041,0,481
9638,114,18,26708,0,481
9639,114,19,28333,0,481
9680,152,0,26750,0,484
9681,152,1,25916,0,484
9682,152,2,24666,0,484
9683,152,3,25958,0,484
9686,152,6,23416,0,484
9692,152,12,25708,0,484
9693,152,13,25750,0,484
9694,152,14,22166,0,484
9697,152,17,27916,0,484
9720,248,0,28500,0,486
9721,248,1,28750,0,486
9723,248,3,28750,0,486
9724,248,4,25416,0,486
9725,248,5,28833,0,486
9727,248,7,28375,0,486
9729,248,9,23500,0,486
9732,248,12,26250,0,486
9735,248,15,25083,0,486
9737,248,17,26583,0,486
9740,3,0,25416,1,487
9750,3,10,25333,1,487
9753,3,13,26416,1,487
9754,3,14,22750,1,487
9757,3,17,28166,1,487
9758,3,18,28625,1,487
9780,79,0,25041,1,489
9784,79,4,24625,1,489
9791,79,11,28166,1,489
9797,79,17,25208,1,489
9799,79,19,22750,1,489
9845,73,5,27458,1,492
9852,73,12,25500,1,492
9854,73,14,27583,1,492
9857,73,17,24291,1,492
9858,73,18,24583,1,492
9861,206,1,25375,0,493
9864,206,4,25875,0,493
9865,206,5,24666,0,493
9867,206,7,28000,0,493
9869,206,9,23041,0,493
9870,206,10,22750,0,493
9872,206,12,22583,0,493
9874,206,14,25916,0,493
9879,206,19,24916,0,493
9921,37,1,28458,1,496
9922,37,2,23875,1,496
9923,37,3,25250,1,496
9925,37,5,28750,1,496
9927,37,7,27666,1,496
9928,37,8,22458,1,496
9929,37,9,27333,1,496
9932,37,12,23000,1,496
9934,37,14,22625,1,496
9936,37,16,27666,1,496
9960,143,0,26083,1,498
9961,143,1,24333,1,498
9962,143,2,26166,1,498
9963,143,3,25708,1,498
9964,143,4,23416,1,498
9967,143,7,26625,1,498
9969,143,9,27625,1,498
9970,143,10,22833,1,498
9972,143,12,26750,1,498
9973,143,13,22583,1,498
9974,143,14,28250,1,498
9977,143,17,26416,1,498
