sample_id,target_byte,repeat,timing_ns
308,122,8,47000
309,122,9,34916
310,122,10,63416
311,122,11,34625
312,122,12,31750
313,122,13,27416
314,122,14,31625
315,122,15,36625
316,122,16,33500
317,122,17,31416
318,122,18,34125
319,122,19,32875
320,88,0,29958
321,88,1,30333
322,88,2,31958
323,88,3,33583
324,88,4,26791
325,88,5,32541
326,88,6,33375
327,88,7,37291
328,88,8,35083
329,88,9,41583
330,88,10,40708
331,88,11,31333
332,88,12,35041
333,88,13,32250
334,88,14,31541
335,88,15,34791
336,88,16,34833
337,88,17,99333
338,88,18,35666
339,88,19,35791
340,217,0,37333
341,217,1,33666
342,217,2,31041
343,217,3,35208
344,217,4,35583
345,217,5,27666
346,217,6,32541
347,217,7,35916
348,217,8,35458
349,217,9,34375
350,217,10,33583
351,217,11,27375
352,217,12,24541
353,217,13,30541
354,217,14,34458
355,217,15,34500
356,217,16,33250
357,217,17,35708
358,217,18,36375
359,217,19,36750
360,30,0,37833
361,30,1,33333
362,30,2,36083
363,30,3,108291
364,30,4,37541
365,30,5,36083
366,30,6,34625
367,30,7,30458
368,30,8,30416
369,30,9,34708
370,30,10,33666
371,30,11,34750
372,30,12,34416
373,30,13,37375
374,30,14,35750
375,30,15,35708
376,30,16,34958
377,30,17,33625
378,30,18,37541
379,30,19,36916
380,236,0,37625
381,236,1,36333
382,236,2,36250
383,236,3,34666
384,236,4,35333
385,236,5,32791
386,236,6,33583
387,236,7,34500
388,236,8,23291
389,236,9,24291
390,236,10,31708
391,236,11,32791
392,236,12,37166
393,236,13,31125
394,236,14,36833
395,236,15,30125
396,236,16,30291
397,236,17,32125
398,236,18,35791
399,236,19,33500
400,119,0,33833
401,119,1,35416
402,119,2,32833
403,119,3,23000
404,119,4,51583
405,119,5,29041
406,119,6,32000
407,119,7,32291
408,119,8,31041
409,119,9,25250
410,119,10,31375
411,119,11,34958
412,119,12,33750
413,119,13,34833
414,119,14,34458
415,119,15,41958
416,119,16,32583
417,119,17,31458
418,119,18,27000
419,119,19,30000
420,95,0,31125
